Location number,Month,State,Gross revenue,Fixed cost,Variable cost,Rental cost,Number of products,Owned,Profit Margin (Adjusted)
3,9,IL,32256311.5,6207097.39,17951211.29,83885.64762391313,4620,TRUE,0.24845113404786182
3,10,IL,27700978.92,4466050.6,15082147.54,83885.64762391313,4620,TRUE,0.2912855591016813
3,11,IL,19977525.56,4694160.53,11309133.16,83885.64762391313,4620,TRUE,0.19473614040397125
3,12,IL,28721644.55,5702791.92,15420255.96,83885.64762391313,4620,TRUE,0.26163930165259597
4,1,GA,23332588.72,5605437.16,12243871.77,141410,4481,FALSE,0.2289445827938118
4,2,GA,15558905.34,5255228.12,8541454.68,141410,4481,FALSE,0.10417265897447764
4,3,GA,27300936.93,5711943.19,16947188.89,141410,4481,FALSE,0.16484397079627985
4,4,GA,16759221.11,4807294.93,8711719.98,141410,4481,FALSE,0.1849009676321407
4,5,GA,23092744.75,5439381.79,11979015.02,141410,4481,FALSE,0.23959637539405104
4,6,GA,24204599.59,5554010.53,12644432.16,141410,4481,FALSE,0.24229886052000577
4,7,GA,19974357.67,4918164.1,10890534.31,141410,4481,FALSE,0.20147077200105035
4,8,GA,19239491.8,5083113.63,10181816.9,141410,4481,FALSE,0.199233498984625
4,9,GA,22183203.45,6072249.73,12285363.07,141410,4481,FALSE,0.16607973948866248
4,10,GA,20018489.17,5034090.76,10834164.42,141410,4481,FALSE,0.20025607107292012
4,11,GA,21672025.7,4882187.67,11126011.39,141410,4481,FALSE,0.25481774137984714
4,12,GA,30647747.08,5740991.19,16854237.12,141410,4481,FALSE,0.2581301897770685
5,1,NJ,11451647.88,2883262.61,6218835.79,74500,4533,FALSE,0.1986656858331555
5,2,NJ,12156756.81,2375378.47,6286574.79,74500,4533,FALSE,0.28135000176909847
5,3,NJ,19439232.09,3947250.41,10997487.96,74500,4533,FALSE,0.22737491375874605
5,4,NJ,16831787.74,4113757.54,9058858.61,74500,4533,FALSE,0.2129703419133065
5,5,NJ,15261458.59,3737807.47,8753929.44,74500,4533,FALSE,0.1766031512719257
5,6,NJ,17055867.09,4189016.04,9941780.83,74500,4533,FALSE,0.16713135749464852
5,7,NJ,10392086.38,3324421.42,5952974.38,74500,4533,FALSE,0.10009448939934629
5,8,NJ,18649597.62,3348504.59,9862717.49,74500,4533,FALSE,0.28761347291738515
5,9,NJ,20003969.04,4302280.12,11028128.26,74500,4533,FALSE,0.22990740741518356
5,10,NJ,12289623.68,3938238.7,7033336.55,74500,4533,FALSE,0.10118685993809046
5,11,NJ,16277414.37,3959781.22,8388697.31,74500,4533,FALSE,0.23679656684933298
5,12,NJ,19192152.2,4630797.65,10231997.33,74500,4533,FALSE,0.2216977635264897
6,1,IL,11253764.51,2528592.92,6103180.82,32790,4373,FALSE,0.23007419141383825
6,2,IL,8454515.124,2555647.38,5056666.53,32790,4373,FALSE,0.09573715371355929
6,3,IL,13806361.65,2742659.52,7650101.48,32790,4373,FALSE,0.24487339501207403
6,4,IL,10191361.07,2455969.56,5532324.35,32790,4373,FALSE,0.21295263165472364
6,5,IL,10207892.08,2514113.38,4999009.21,32790,4373,FALSE,0.26077660981698
6,6,IL,11061580.24,3257411.95,6155419.31,32790,4373,FALSE,0.1460875340538144
6,7,IL,7313553.587,2609953.33,4141838.14,32790,4373,FALSE,0.0723276462949912
6,8,IL,8820313.181,2377090.11,4867379.06,32790,4373,FALSE,0.17494322246107114
6,9,IL,6944378.405,3017377.42,3533644.08,32790,4373,FALSE,0.051922128082823024
6,10,IL,7032917.222,2404697.15,4123095.39,32790,4373,FALSE,0.06716056326135449
6,11,IL,8917148.898,2431254.3,5244973.3,32790,4373,FALSE,0.13548403327334463
6,12,IL,13020644.4,3098986.99,8432675.13,32790,4373,FALSE,0.11183718987057194
7,1,IL,21116136.18,5537765.49,12756853.52,67410,4495,FALSE,0.1304266626490377
7,2,IL,27682803.55,5169013.88,15793140.76,67410,4495,FALSE,0.24033833487938044
7,3,IL,34513429.45,5766870.65,19785300.87,67410,4495,FALSE,0.2576923844350102
7,4,IL,24944394.46,5630799.24,13455815.25,67410,4495,FALSE,0.23213110982851248
7,5,IL,28932913.89,5700748.95,15627860.68,67410,4495,FALSE,0.26049551347142247
7,6,IL,31157233.78,7520678.36,17187182.22,67410,4495,FALSE,0.20483086672786144
7,7,IL,21438145.13,6141305.6,11543972.44,67410,4495,FALSE,0.17191119230005886
7,8,IL,24917142.73,5833776.79,13185063.96,67410,4495,FALSE,0.23401126056799693
7,9,IL,29893243.53,6781010.17,15669589.04,67410,4495,FALSE,0.24671910602803696
7,10,IL,24178562.74,5630311.26,12750908.81,67410,4495,FALSE,0.23698400651915658
7,11,IL,24010289.62,5767990.8,13591779.67,67410,4495,FALSE,0.19088104402465764
7,12,IL,28998762.1,6903800.88,16999237.65,67410,4495,FALSE,0.17339752478606676
8,1,GA,22784037.69,6843187.27,12866269.38,174550,4506,FALSE,0.12728345517409478
8,2,GA,22030072.12,4240952.77,12749872.74,174550,4506,FALSE,0.22082073011388767
8,3,GA,31471755.36,6982335.42,16663451.2,174550,4506,FALSE,0.24312017720259751
8,4,GA,23726776.77,5418066.59,12541976.41,174550,4506,FALSE,0.23569083252263429
8,5,GA,20726295.71,5174935.66,10774447.8,174550,4506,FALSE,0.22205425968999648
8,6,GA,26681240.17,6608677.55,14280496.44,174550,4506,FALSE,0.21054179431720174
8,7,GA,20266245.16,5755929.97,11255717.86,174550,4506,FALSE,0.15197918043936273
8,8,GA,28998570.73,6062346.72,16205894.17,174550,4506,FALSE,0.22607251581602353
8,9,GA,25510630.74,6440164.32,13594440.18,174550,4506,FALSE,0.207814392910616
8,10,GA,24474952.54,5102471.97,14199428.16,174550,4506,FALSE,0.20422929939622267
8,11,GA,21731930.16,5410769.96,11497187.65,174550,4506,FALSE,0.21394429835587134
8,12,GA,31250818.1,7281616.3,17921056.05,174550,4506,FALSE,0.18795014361560025
9,1,CA,81007485.44,12986731.72,39868399.14,368054.53959127865,4789,TRUE,0.34298435372355535
9,2,CA,69223934.11,11674928.03,35385616.21,368054.53959127865,4789,TRUE,0.31485259557445744
9,3,CA,59653802.94,13193740.69,31918596.81,368054.53959127865,4789,TRUE,0.23759442318647125
9,4,CA,44529214.38,9703424.06,22862186.42,368054.53959127865,4789,TRUE,0.2604031874772258
9,5,CA,61752815.81,9983728.1,29305351.89,368054.53959127865,4789,TRUE,0.357808481938578
9,6,CA,74682004.9,13408864.97,30270252.13,368054.53959127865,4789,TRUE,0.410203680276515
9,7,CA,73143487.18,11201665.26,25273883.88,368054.53959127865,4789,TRUE,0.49628319485339484
9,8,CA,73718893.6,11505596.89,29525233.43,368054.53959127865,4789,TRUE,0.4384223251610048
9,9,CA,83016711.1,14452157.43,37157762.2,368054.53959127865,4789,TRUE,0.37388540836097645
9,10,CA,57981369.04,10435011.28,27918029.6,368054.53959127865,4789,TRUE,0.332180387239934
9,11,CA,59013587.17,10647755.6,29715009.85,368054.53959127865,4789,TRUE,0.309806064283835
9,12,CA,75194656.86,11121866.89,38821654.72,368054.53959127865,4789,TRUE,0.3309155430649401
10,1,TX,21026806.21,4284816.29,10661519.74,108720,4544,FALSE,0.28400652578231
10,2,TX,21702990.43,5323011.08,10338784.54,108720,4544,FALSE,0.2733482664121509
10,3,TX,24973954.96,5233263.23,12095960.1,108720,4544,FALSE,0.3017548338687322
10,4,TX,24665182.77,4377084.69,13122629.93,108720,4544,FALSE,0.28610159575152416
10,5,TX,27087508.3,4778562.25,13642442.98,108720,4544,FALSE,0.3159309809976136
10,6,TX,38171759.17,6318526.87,19588907.71,108720,4544,FALSE,0.3184449670203659
10,7,TX,21930445.45,5206792.22,11110992.36,108720,4544,FALSE,0.2509725980052996
10,8,TX,25154034.36,5289088.33,12402161.75,108720,4544,FALSE,0.2923612242374309
10,9,TX,28892130.89,6186293.01,13800599.69,108720,4544,FALSE,0.3044606928956081
10,10,TX,22449625.22,4567089.94,11625886.59,108720,4544,FALSE,0.2738544020112599
10,11,TX,22399564.95,4673433.21,11466533.55,108720,4544,FALSE,0.2745981095494445
10,12,TX,29620655.15,6488483.28,15268810.61,108720,4544,FALSE,0.2617984383103693
11,1,TX,24100579.58,4661060.87,14457535.17,79128.00860036258,4568,TRUE,0.203433096499816
11,2,TX,24809293.45,5109675.39,13892080.46,79128.00860036258,4568,TRUE,0.23089773205127836
11,3,TX,27074282.43,4756035.37,14667643.91,79128.00860036258,4568,TRUE,0.2796556163944706
11,4,TX,23077111.96,5026195.86,12359211.61,79128.00860036258,4568,TRUE,0.2432096568724902
11,5,TX,28532041.52,5666970.52,15097994.22,79128.00860036258,4568,TRUE,0.269449655959972
11,6,TX,28808949.86,6082453.92,15932377.72,79128.00860036258,4568,TRUE,0.23308694846677186
11,7,TX,22384321.63,5398834.05,12233970.74,79128.00860036258,4568,TRUE,0.20873488634730789
11,8,TX,27587535.87,5096585.76,13903747.76,79128.00860036258,4568,TRUE,0.3084028374803754
11,9,TX,21872737.28,7530335.08,11308025.19,79128.00860036258,4568,TRUE,0.13511107291092736
11,10,TX,22697885.9,4764238.96,11816033.39,79128.00860036258,4568,TRUE,0.26603735554947144
11,11,TX,19328219.52,4675440.46,11189963.08,79128.00860036258,4568,TRUE,0.1750646492760672
11,12,TX,38285528.73,5755893.33,20350141.5,79128.00860036258,4568,TRUE,0.3160558647820883
12,1,TX,15333373.56,4125152.29,8383660.67,131130,4257,FALSE,0.17565805655621158
12,2,TX,16423389.35,4438124.17,8936046.62,131130,4257,FALSE,0.17767882730004209
12,3,TX,16046780.99,4025244.89,9332492.5,131130,4257,FALSE,0.15940353405421528
12,4,TX,21399407.74,4152678.64,12118922.23,131130,4257,FALSE,0.23349603553093465
12,5,TX,18587154.1,3228200.41,10737797.09,131130,4257,FALSE,0.24156611473942646
12,6,TX,19686260.54,5131486.88,12877694.64,131130,4257,FALSE,0.07852933861455436
12,7,TX,15985969.93,3818022.87,9916238.05,131130,4257,FALSE,0.13265250837363474
12,8,TX,12984661.99,3667066.15,7638854.34,131130,4257,FALSE,0.1191876616574137
12,9,TX,17828484.75,5593654.55,10887057.93,131130,4257,FALSE,0.0682414847397505
12,10,TX,16333473.94,3264895.52,9940410.59,131130,4257,FALSE,0.18349053244946129
12,11,TX,31191593.65,4309501.08,19023781.85,131130,4257,FALSE,0.24773279642927123
12,12,TX,19634252.57,3723406.62,12134019.34,131130,4257,FALSE,0.18568043764346867
13,1,GA,6208699.812,2608541.89,3702089.22,72060,4289,FALSE,-0.02802378972546151
13,2,GA,8424593.394,2801998.32,4894461.17,72060,4289,FALSE,0.0778760319123835
13,3,GA,9326274.377,3219762.05,5832710.21,72060,4289,FALSE,0.02163158715312162
13,4,GA,7297967.439,2587528.64,4028179.19,72060,4289,FALSE,0.08361226794999416
13,5,GA,9428558.135,3034701.41,5283107.21,72060,4289,FALSE,0.11016419479286582
13,6,GA,10209110.25,3833710.03,5767047.36,72060,4289,FALSE,0.052530812859034444
13,7,GA,9000600.666,3357923.29,4483705.21,72060,4289,FALSE,0.12075995884428446
13,8,GA,9585797.735,3534780.22,5315166.88,72060,4289,FALSE,0.06924730245207901
13,9,GA,10798613.39,3467426.2,5500699.91,72060,4289,FALSE,0.16283824751318374
13,10,GA,8107707.296,2566820.52,4730171.69,72060,4289,FALSE,0.09110529759312122
13,11,GA,8260230.691,1273073.15,4878805.11,72060,4289,FALSE,0.24651762247011547
13,12,GA,12455399.89,3101491.36,7126149.09,72060,4289,FALSE,0.17307348291006988
14,1,GA,17456831.41,4960694.27,9075763.34,162110,4414,FALSE,0.18664691910431874
14,2,GA,13202113.89,3773272.56,7287471.7,162110,4414,FALSE,0.14991990271339795
14,3,GA,14953493.24,5018139.66,7916567.83,162110,4414,FALSE,0.12416334566116405
14,4,GA,13666262.62,4454510.48,6782978.98,162110,4414,FALSE,0.16585830545088695
14,5,GA,18447762.94,3566440.21,10366876.42,162110,4414,FALSE,0.23592759318057457
14,6,GA,17831189.53,4786921.32,10135756.31,162110,4414,FALSE,0.15402236039156722
14,7,GA,13234132.81,4171403.59,6771847.93,162110,4414,FALSE,0.16085461137215237
14,8,GA,14288703.93,3515269.07,8131659.59,162110,4414,FALSE,0.17354025124656633
14,9,GA,22039957.94,5056922.03,11674221.21,162110,4414,FALSE,0.23351699281872582
14,10,GA,21119385.61,4699115.9,11441126.24,162110,4414,FALSE,0.22808587138629355
14,11,GA,16860212.29,4553807.85,9206176.37,162110,4414,FALSE,0.17426340899293627
14,12,GA,24657147.16,5412518.35,13736016.62,162110,4414,FALSE,0.216833770561801
15,1,CA,11198457.57,2725454.61,4758360.63,85090,4414,FALSE,0.3241118080157177
15,2,CA,12766751.12,2935216.99,6720510.17,85090,4414,FALSE,0.23701675794867372
15,3,CA,12925731.81,3009719.24,5512217.49,85090,4414,FALSE,0.3341168719483125
15,4,CA,9530166.297,2626967.58,4160367.26,85090,4414,FALSE,0.2788767136032695
15,5,CA,10256128.12,2364062.66,5031475.33,85090,4414,FALSE,0.27061870693557594
15,6,CA,10107220.41,3170574.86,4901563.3,85090,4414,FALSE,0.19293061503543493
15,7,CA,9692279.79,2373901.02,5089563.67,85090,4414,FALSE,0.22117862323906354
15,8,CA,10658593.6,2215715.26,5258546.72,85090,4414,FALSE,0.290773974157341
15,9,CA,12430198.13,3435899.06,6282402.24,85090,4414,FALSE,0.2113246146624374
15,10,CA,9494507.09,2224225.42,5510919.53,85090,4414,FALSE,0.17634113326045237
15,11,CA,9626079.072,2634789.66,5949002.71,85090,4414,FALSE,0.09943785988463989
15,12,CA,11938340.04,3160294.92,6692339.87,85090,4414,FALSE,0.1675790137738445
16,1,NJ,49647378.33,10043345.29,27013052.37,279370,4619,FALSE,0.247981083475672
16,2,NJ,51275864.39,7822051.39,28883564.01,279370,4619,FALSE,0.27870576459335233
16,3,NJ,63680744.1,10187663.93,36077715,279370,4619,FALSE,0.2690922571992999
16,4,NJ,51574310.33,9679463.28,28768402.29,279370,4619,FALSE,0.2490983336044156
16,5,NJ,45222346.82,7662350.68,25002576.19,279370,4619,FALSE,0.2715040419921312
16,6,NJ,54133531.95,10724824.77,29957205.43,279370,4619,FALSE,0.2433266641860047
16,7,NJ,36639825.63,8209536.45,20724730.34,279370,4619,FALSE,0.20268079097842592
16,8,NJ,45747166.54,8462826.82,24639724.46,279370,4619,FALSE,0.2702953252675919
16,9,NJ,59752607.25,10359163.3,33522462.13,279370,4619,FALSE,0.26093609195605444
16,10,NJ,49050795.76,9133416.83,27685554.94,279370,4619,FALSE,0.2436750271796202
16,11,NJ,46064534.22,8133917.28,26487026.62,279370,4619,FALSE,0.24236042997158513
16,12,NJ,53269159.76,10408606.87,30662205.12,279370,4619,FALSE,0.223750061455822
17,1,CA,38857366.65,7305868.78,19099651.52,248310,4553,FALSE,0.3140597884545529
17,2,CA,39885102.92,5912907.09,20179680.25,248310,4553,FALSE,0.33958055986884234
17,3,CA,39487638.68,7181750.12,20633933.3,248310,4553,FALSE,0.2892967430282412
17,4,CA,33772081.88,6029813.32,17081917.12,248310,4553,FALSE,0.30830321556711804
17,5,CA,36592113.52,5618850.1,19884099.28,248310,4553,FALSE,0.2962620383781538
17,6,CA,32694061.01,6951327.18,16206704.72,248310,4553,FALSE,0.28407970203393224
17,7,CA,26116751.11,5790018.98,13151568.12,248310,4553,FALSE,0.26522648168698654
17,8,CA,28398907.1,5307369.3,15118093.11,248310,4553,FALSE,0.27202225292676846
17,9,CA,40679843.55,7327907.65,20749944.66,248310,4553,FALSE,0.30368064775903003
17,10,CA,35835888.12,5919403.56,18854756.9,248310,4553,FALSE,0.301748281605027
17,11,CA,34651985.16,6297299.71,18334170.69,248310,4553,FALSE,0.282009954548878
17,12,CA,37500940.16,6805484.11,20090723.72,248310,4553,FALSE,0.27616433843561533
18,1,CA,15942639.77,2996040.64,8567873.65,39260,4578,FALSE,0.27219240618895313
18,2,CA,18929157.62,2951461.77,9949244.3,39260,4578,FALSE,0.3164003211464621
18,3,CA,20674324.03,4173968.65,10463350.65,39260,4578,FALSE,0.2901059653170194
18,4,CA,13269049.01,3285453.59,6389483.8,39260,4578,FALSE,0.2679055309329964
18,5,CA,14908896.98,3538335.23,7679742.08,39260,4578,FALSE,0.24492487102825228
18,6,CA,19358429.59,3849911.19,10129189.39,39260,4578,FALSE,0.2758523869497412
18,7,CA,16601994.58,3573512.6,8975095.31,39260,4578,FALSE,0.2417858077628646
18,8,CA,13182366.56,3768931.16,6439259.86,39260,4578,FALSE,0.22263950305445002
18,9,CA,19386449.8,4020739.24,10216508.52,39260,4578,FALSE,0.2635831775656005
18,10,CA,15903212.74,3676989.43,8748254.48,39260,4578,FALSE,0.21622730489864528
18,11,CA,11442859.78,3095657.58,6305517.3,39260,4578,FALSE,0.17499339662449306
18,12,CA,22775886.7,4757788.57,12444832.87,39260,4578,FALSE,0.2429765011080776
19,1,IL,30273856.11,5536430.45,16382601.44,328370,4459,FALSE,0.2651282410419041
19,2,IL,25868685.93,5393625.59,13725257.09,328370,4459,FALSE,0.24823190738703285
19,3,IL,39082196.22,7058566.57,21068635.32,328370,4459,FALSE,0.27190448229114383
19,4,IL,31879202.81,5790118.37,16925005.61,328370,4459,FALSE,0.2771621637674195
19,5,IL,29693241.92,5136798.87,16089840.51,328370,4459,FALSE,0.2740769284110558
19,6,IL,34935437.37,7992759.2,18768270.51,328370,4459,FALSE,0.224586787819568
19,7,IL,28570428.79,5182054.62,14339391.3,328370,4459,FALSE,0.3052321312395675
19,8,IL,27850886.94,6124851.61,14400858.47,328370,4459,FALSE,0.25122384342995724
19,9,IL,30263061.78,6965747.22,15678352.34,328370,4459,FALSE,0.24090729064361055
19,10,IL,31929918.9,5558172.84,16950720,328370,4459,FALSE,0.28476915611583337
19,11,IL,26602660.61,5550369.33,14374276.89,328370,4459,FALSE,0.23868456178451394
19,12,IL,34376273.77,6280177.7,18421754.22,328370,4459,FALSE,0.27187274317544524
20,1,CA,16909345.52,3165598.24,8559230.61,103830,4572,FALSE,0.30046619273292846
20,2,CA,14880856.42,3448760.5,7389625.95,103830,4572,FALSE,0.2646783127822155
20,3,CA,24533909.31,4185814.05,12438592.34,103830,4572,FALSE,0.3181585462541191
20,4,CA,18379670.87,3422078.46,9128833.18,103830,4572,FALSE,0.31148159673220527
20,5,CA,18943363.74,3008834.67,9909908.5,103830,4572,FALSE,0.31255222943842387
20,6,CA,18798421.26,4383010.66,9722557.01,103830,4572,FALSE,0.2441174993649441
20,7,CA,13951448.76,3848525.94,6705106.41,103830,4572,FALSE,0.23610353782355148
20,8,CA,20841820.32,3096102.55,9026130.3,103830,4572,FALSE,0.4133879544932186
20,9,CA,24149534.41,4475719.11,11800089.79,103830,4572,FALSE,0.321741006600218
20,10,CA,14661280.59,3682452.11,7501954.73,103830,4572,FALSE,0.23006474293252716
20,11,CA,16448637.37,4166653.83,7947371.24,103830,4572,FALSE,0.25721171941673115
20,12,CA,17923476.4,5234384.78,8879485.55,103830,4572,FALSE,0.20675542999013277
21,1,TX,23335800.16,5775255.85,11775918.86,91565.5776527985,4594,TRUE,0.2439624882503795
21,2,TX,25510232.96,4298877.12,13166201.02,91565.5776527985,4594,TRUE,0.31178034535468235
21,3,TX,28558301.43,5635876.92,14261133.22,91565.5776527985,4594,TRUE,0.30007827087870326
21,4,TX,23139028.75,4827677.76,11722617.63,91565.5776527985,4594,TRUE,0.2807882669814826
21,5,TX,28310058.17,5167744.3,14171988.25,91565.5776527985,4594,TRUE,0.31362563753952194
21,6,TX,27616485.44,6776911.52,15214298.69,91565.5776527985,4594,TRUE,0.20037704161776218
21,7,TX,18735297.24,4977131.73,8889110.85,91565.5776527985,4594,TRUE,0.25499937477091233
21,8,TX,23809357.56,5276961.29,11724409.05,91565.5776527985,4594,TRUE,0.28209167867808693
21,9,TX,36536793.65,5616561.52,18364786.82,91565.5776527985,4594,TRUE,0.3411322802910266
21,10,TX,24412793.36,5566542.47,12810723.29,91565.5776527985,4594,TRUE,0.24347734135522142
21,11,TX,24290221.38,4753974.92,12611818.07,91565.5776527985,4594,TRUE,0.2813009690382329
21,12,TX,35328636.6,6310274.05,18853393.08,91565.5776527985,4594,TRUE,0.2851342384480018
22,1,CO,29194957.45,6555967.14,14987562.64,192180,4511,FALSE,0.2554978092629485
22,2,CO,28020264.87,5753307.1,14813883.86,192180,4511,FALSE,0.25913009543938703
22,3,CO,38185836.64,5974632.92,19308353.13,192180,4511,FALSE,0.33286348312414504
22,4,CO,25118044.32,5340568.71,12864151.08,192180,4511,FALSE,0.2675823182877479
22,5,CO,26328073.83,4962611.02,13482150.73,192180,4511,FALSE,0.2921266527001379
22,6,CO,30178316.11,6452630.83,15009421.24,192180,4511,FALSE,0.2824572454251491
22,7,CO,27319586.8,5302157.43,12784094.63,192180,4511,FALSE,0.33094039108966317
22,8,CO,28076395.35,6322127.53,15135138.38,192180,4511,FALSE,0.22890935107166452
22,9,CO,30399138.5,6850343.83,15447840.4,192180,4511,FALSE,0.26016442110686794
22,10,CO,25701785.85,5367179.03,13223309.63,192180,4511,FALSE,0.2692076430167594
22,11,CO,25644248.73,4252770.56,13336428.2,192180,4511,FALSE,0.30661338738309774
22,12,CO,30808648.57,4902747.82,16076507.38,192180,4511,FALSE,0.3128087020144162
23,1,TX,23688345.46,4597511.05,11077415.5,107520,4581,FALSE,0.33374635317396284
23,2,TX,26325549.46,4947022.55,12175356.47,107520,4581,FALSE,0.34550657542097124
23,3,TX,29400500.77,5673860.28,15249118.45,107520,4581,FALSE,0.2846890978313088
23,4,TX,23747903.27,4568456.46,11323389.14,107520,4581,FALSE,0.3262830230485438
23,5,TX,22002169.34,4020406.49,11808023.33,107520,4581,FALSE,0.27571006414224797
23,6,TX,28112505.6,5396709.64,13802467.21,107520,4581,FALSE,0.3132345752205026
23,7,TX,20204682.63,4378891.01,10085929.12,107520,4581,FALSE,0.278764215362486
23,8,TX,25903298.31,4473523.03,12589524.07,107520,4581,FALSE,0.3371281566343509
23,9,TX,25227155.93,5424327.53,12672500.78,107520,4581,FALSE,0.2783828521727459
23,10,TX,20662561.06,4917198.56,10159172.03,107520,4581,FALSE,0.2651496324241232
23,11,TX,24504323.68,5637515.1,11532469.67,107520,4581,FALSE,0.29492015386241416
23,12,TX,23337669.16,5865729.72,11826100.59,107520,4581,FALSE,0.23731242447692671
24,1,TX,17756200.32,4390920.08,9288657.39,83800,4411,FALSE,0.2248692162761092
24,2,TX,15353637.22,3464521.3,7735822.96,83800,4411,FALSE,0.26505074346155494
24,3,TX,13818649.08,3830370.42,7080993.26,83800,4411,FALSE,0.20432427103793277
24,4,TX,14417841.64,3341491.28,7280711.41,83800,4411,FALSE,0.2574476154393385
24,5,TX,15966139.37,3874473.53,8309087.11,83800,4411,FALSE,0.23166393855673825
24,6,TX,16116717.71,4847927.02,7481995.35,83800,4411,FALSE,0.22976113416085894
24,7,TX,8458020.625,3078809.36,3939353.8,83800,4411,FALSE,0.16032799222454022
24,8,TX,13308401.48,3810154.26,6772803.58,83800,4411,FALSE,0.19849443556161792
24,9,TX,17765835.32,4531997.45,8547574.63,83800,4411,FALSE,0.25906258597470777
24,10,TX,15389541.13,3847483.03,7338396.52,83800,4411,FALSE,0.2677052905735339
24,11,TX,13155499.05,3107297.93,6067195.21,83800,4411,FALSE,0.2962415865173888
24,12,TX,16126016.16,4791581.76,7669047.57,83800,4411,FALSE,0.2220999157178074
25,1,TX,27247626.04,5425889.27,15614836.13,107350,4393,FALSE,0.22385622259516297
25,2,TX,20986463.09,5590521.25,12228840.92,107350,4393,FALSE,0.145796407278269
25,3,TX,25641102.03,5481111.85,15655876.7,107350,4393,FALSE,0.1714732648719935
25,4,TX,19800353.77,4129263.85,11400054.49,107350,4393,FALSE,0.21028338575993027
25,5,TX,23258665.38,4992316.09,14123177.6,107350,4393,FALSE,0.17351905726587308
25,6,TX,29251111.64,6580476.66,16385346.03,107350,4393,FALSE,0.2112035612879703
25,7,TX,25292920.89,5617860.39,13732781.87,107350,4393,FALSE,0.23069413988903678
25,8,TX,22338029.19,5293321.01,12009517.95,107350,4393,FALSE,0.22060317801921542
25,9,TX,26194927.68,6936053.84,14361034.17,107350,4393,FALSE,0.1828785224575203
25,10,TX,24067449.31,5525013.79,12731770.98,107350,4393,FALSE,0.23697212224439082
25,11,TX,21050766.62,5360442.33,10731943.02,107350,4393,FALSE,0.23044439936886257
25,12,TX,33887580.87,6638778.53,17259820.27,107350,4393,FALSE,0.29160039803100873
26,1,GA,18547885.84,4678534.52,10216496.73,110580,4561,FALSE,0.1909799650783272
26,2,GA,23990295.47,4273850.38,12938937.39,110580,4561,FALSE,0.27790102495140295
26,3,GA,27296914.24,5638664.17,14628455.24,110580,4561,FALSE,0.2534797438701262
